# phi  Veff_T1e-05  Veff_T1e-03
# # g0=0.6  y0=0.0  lam0=0.0  m0=0.0  scale=pi
7.7000000000e-04 -4.7298120964e-15 1.2439724123e-14
7.7200000000e-04 -4.7789591908e-15 1.2474529603e-14
7.7400000000e-04 -4.8284882740e-15 1.2509152305e-14
7.7600000000e-04 -4.8784013199e-15 1.2543590374e-14
7.7800000000e-04 -4.9287003075e-15 1.2577841953e-14
7.8000000000e-04 -4.9793872212e-15 1.2611905177e-14
7.8200000000e-04 -5.0304640502e-15 1.2645778176e-14
7.8400000000e-04 -5.0819327888e-15 1.2679459078e-14
7.8600000000e-04 -5.1337954366e-15 1.2712946003e-14
7.8800000000e-04 -5.1860539980e-15 1.2746237067e-14
7.9000000000e-04 -5.2387104828e-15 1.2779330380e-14
7.9200000000e-04 -5.2917669055e-15 1.2812224048e-14
7.9400000000e-04 -5.3452252861e-15 1.2844916170e-14
7.9600000000e-04 -5.3990876494e-15 1.2877404841e-14
7.9800000000e-04 -5.4533560254e-15 1.2909688149e-14
8.0000000000e-04 -5.5080324491e-15 1.2941764175e-14
8.0200000000e-04 -5.5631189608e-15 1.2973630998e-14
8.0400000000e-04 -5.6186176056e-15 1.3005286688e-14
8.0600000000e-04 -5.6745304339e-15 1.3036729310e-14
8.0800000000e-04 -5.7308595012e-15 1.3067956921e-14
8.1000000000e-04 -5.7876068678e-15 1.3098967573e-14
8.1200000000e-04 -5.8447745994e-15 1.3129759312e-14
8.1400000000e-04 -5.9023647667e-15 1.3160330176e-14
8.1600000000e-04 -5.9603794454e-15 1.3190678197e-14
8.1800000000e-04 -6.0188207164e-15 1.3220801398e-14
8.2000000000e-04 -6.0776906656e-15 1.3250697798e-14
8.2200000000e-04 -6.1369913840e-15 1.3280365405e-14
8.2400000000e-04 -6.1967249678e-15 1.3309802222e-14
8.2600000000e-04 -6.2568935182e-15 1.3339006242e-14
8.2800000000e-04 -6.3174991414e-15 1.3367975450e-14
8.3000000000e-04 -6.3785439488e-15 1.3396707825e-14
8.3200000000e-04 -6.4400300569e-15 1.3425201333e-14
8.3400000000e-04 -6.5019595873e-15 1.3453453935e-14
8.3600000000e-04 -6.5643346664e-15 1.3481463579e-14
8.3800000000e-04 -6.6271574262e-15 1.3509228206e-14
8.4000000000e-04 -6.6904300033e-15 1.3536745746e-14
8.4200000000e-04 -6.7541545397e-15 1.3564014117e-14
8.4400000000e-04 -6.8183331824e-15 1.3591031228e-14
8.4600000000e-04 -6.8829680834e-15 1.3617794975e-14
8.4800000000e-04 -6.9480613999e-15 1.3644303242e-14
8.5000000000e-04 -7.0136152941e-15 1.3670553901e-14
8.5200000000e-04 -7.0796319333e-15 1.3696544811e-14
8.5400000000e-04 -7.1461134901e-15 1.3722273816e-14
8.5600000000e-04 -7.2130621418e-15 1.3747738745e-14
8.5800000000e-04 -7.2804800711e-15 1.3772937414e-14
8.6000000000e-04 -7.3483694657e-15 1.3797867618e-14
8.6200000000e-04 -7.4167325182e-15 1.3822527140e-14
8.6400000000e-04 -7.4855714267e-15 1.3846913740e-14
8.6600000000e-04 -7.5548883939e-15 1.3871025160e-14
8.6800000000e-04 -7.6246856280e-15 1.3894859121e-14
8.7000000000e-04 -7.6949653420e-15 1.3918413320e-14
8.7200000000e-04 -7.7657297542e-15 1.3941685433e-14
8.7400000000e-04 -7.8369810879e-15 1.3964673104e-14
8.7600000000e-04 -7.9087215713e-15 1.3987373955e-14
8.7800000000e-04 -7.9809534380e-15 1.4009785571e-14
8.8000000000e-04 -8.0536789266e-15 1.4031905507e-14
8.8200000000e-04 -8.1269002806e-15 1.4053731279e-14
8.8400000000e-04 -8.2006197487e-15 1.4075260364e-14
