# phi V_T=1e-05 V_T=1e-03 V_T=1e-01
3.950000000000000178e-01 -3.225075195250298558e-04 -1.525683635346456444e-04 -3.936901586135595221e-05
3.975000000000000200e-01 -3.307500333682852293e-04 -1.564607527305003295e-04 -4.055682504470015744e-05
4.000000000000000222e-01 -3.391495408410978877e-04 -1.604271486362058967e-04 -4.176532224089601257e-05
4.025000000000000244e-01 -3.477080228853114967e-04 -1.644684834190295497e-04 -4.299466982617983506e-05
4.050000000000000266e-01 -3.564274728623564024e-04 -1.685856950801913881e-04 -4.424503203660905021e-05
4.075000000000000289e-01 -3.653098965532517459e-04 -1.727797274548646775e-04 -4.551657415413467970e-05
4.100000000000000311e-01 -3.743573121586039995e-04 -1.770515302121756878e-04 -4.680946212615298317e-05
4.125000000000000333e-01 -3.835717502986081594e-04 -1.814020588552036652e-04 -4.812386236034367005e-05
4.150000000000000355e-01 -3.929552540130464445e-04 -1.858322747209808601e-04 -4.945994160294953036e-05
4.174999999999999822e-01 -4.025098787612892723e-04 -1.903431449804924723e-04 -5.081786686140746950e-05
4.199999999999999845e-01 -4.122376924222956925e-04 -1.949356426386770309e-04 -5.219780535252936356e-05
4.224999999999999867e-01 -4.221407752946114357e-04 -1.996107465344257163e-04 -5.359992446633499933e-05
4.249999999999999889e-01 -4.322212200963714067e-04 -2.043694413405828755e-04 -5.502439173995286143e-05
4.274999999999999911e-01 -4.424811319652972993e-04 -2.092127175639458593e-04 -5.647137483826145858e-05
4.299999999999999933e-01 -4.529226284586994940e-04 -2.141415715452650223e-04 -5.794104153919166212e-05
4.324999999999999956e-01 -4.635478395534757567e-04 -2.191570054592437231e-04 -5.943355972234588998e-05
4.349999999999999978e-01 -4.743589076461125396e-04 -2.242600273145383782e-04 -6.094909736003273056e-05
4.375000000000000000e-01 -4.853579875526834635e-04 -2.294516509537585978e-04 -6.248782251009947183e-05
4.400000000000000022e-01 -4.965472465088505106e-04 -2.347328960534664536e-04 -6.404990331012403034e-05
4.425000000000000044e-01 -5.079288641698631026e-04 -2.401047881241775365e-04 -6.563550797265576447e-05
