# S_vals   V0
1.4474474474e+00 -3.0607079743e-03
1.4504504505e+00 -3.0749163935e-03
1.4534534535e+00 -3.0891198053e-03
1.4564564565e+00 -3.1033176078e-03
1.4594594595e+00 -3.1175091958e-03
1.4624624625e+00 -3.1316939602e-03
1.4654654655e+00 -3.1458712884e-03
1.4684684685e+00 -3.1600405640e-03
1.4714714715e+00 -3.1742011672e-03
1.4744744745e+00 -3.1883524742e-03
1.4774774775e+00 -3.2024938577e-03
1.4804804805e+00 -3.2166246867e-03
1.4834834835e+00 -3.2307443265e-03
1.4864864865e+00 -3.2448521388e-03
1.4894894895e+00 -3.2589474814e-03
1.4924924925e+00 -3.2730297086e-03
1.4954954955e+00 -3.2870981709e-03
1.4984984985e+00 -3.3011522152e-03
1.5015015015e+00 -3.3151911845e-03
1.5045045045e+00 -3.3292144183e-03
1.5075075075e+00 -3.3432212521e-03
1.5105105105e+00 -3.3572110179e-03
1.5135135135e+00 -3.3711830440e-03
1.5165165165e+00 -3.3851366547e-03
1.5195195195e+00 -3.3990711708e-03
1.5225225225e+00 -3.4129859093e-03
1.5255255255e+00 -3.4268801834e-03
1.5285285285e+00 -3.4407533026e-03
1.5315315315e+00 -3.4546045725e-03
1.5345345345e+00 -3.4684332951e-03
1.5375375375e+00 -3.4822387686e-03
1.5405405405e+00 -3.4960202874e-03
1.5435435435e+00 -3.5097771420e-03
1.5465465465e+00 -3.5235086193e-03
1.5495495495e+00 -3.5372140024e-03
1.5525525526e+00 -3.5508925705e-03
1.5555555556e+00 -3.5645435990e-03
1.5585585586e+00 -3.5781663596e-03
1.5615615616e+00 -3.5917601201e-03
1.5645645646e+00 -3.6053241445e-03
1.5675675676e+00 -3.6188576931e-03
1.5705705706e+00 -3.6323600222e-03
1.5735735736e+00 -3.6458303844e-03
1.5765765766e+00 -3.6592680284e-03
1.5795795796e+00 -3.6726721991e-03
1.5825825826e+00 -3.6860421376e-03
1.5855855856e+00 -3.6993770810e-03
1.5885885886e+00 -3.7126762627e-03
1.5915915916e+00 -3.7259389122e-03
1.5945945946e+00 -3.7391642552e-03
1.5975975976e+00 -3.7523515134e-03
1.6006006006e+00 -3.7654999048e-03
1.6036036036e+00 -3.7786086434e-03
1.6066066066e+00 -3.7916769394e-03
1.6096096096e+00 -3.8047039990e-03
1.6126126126e+00 -3.8176890246e-03
1.6156156156e+00 -3.8306312149e-03
1.6186186186e+00 -3.8435297643e-03
1.6216216216e+00 -3.8563838636e-03
1.6246246246e+00 -3.8691926996e-03
1.6276276276e+00 -3.8819554552e-03
1.6306306306e+00 -3.8946713094e-03
1.6336336336e+00 -3.9073394374e-03
1.6366366366e+00 -3.9199590101e-03
1.6396396396e+00 -3.9325291950e-03
1.6426426426e+00 -3.9450491552e-03
1.6456456456e+00 -3.9575180501e-03
1.6486486486e+00 -3.9699350353e-03
1.6516516517e+00 -3.9822992621e-03
1.6546546547e+00 -3.9946098781e-03
1.6576576577e+00 -4.0068660269e-03
1.6606606607e+00 -4.0190668481e-03
1.6636636637e+00 -4.0312114774e-03
1.6666666667e+00 -4.0432990465e-03
1.6696696697e+00 -4.0553286831e-03
1.6726726727e+00 -4.0672995110e-03
1.6756756757e+00 -4.0792106500e-03
1.6786786787e+00 -4.0910612159e-03
1.6816816817e+00 -4.1028503205e-03
1.6846846847e+00 -4.1145770716e-03
1.6876876877e+00 -4.1262405730e-03
1.6906906907e+00 -4.1378399247e-03
1.6936936937e+00 -4.1493742224e-03
1.6966966967e+00 -4.1608425580e-03
1.6996996997e+00 -4.1722440192e-03
1.7027027027e+00 -4.1835776898e-03
1.7057057057e+00 -4.1948426497e-03
1.7087087087e+00 -4.2060379745e-03
1.7117117117e+00 -4.2171627361e-03
1.7147147147e+00 -4.2282160020e-03
1.7177177177e+00 -4.2391968360e-03
1.7207207207e+00 -4.2501042976e-03
1.7237237237e+00 -4.2609374423e-03
