# S_vals   V_full,   V_ht,   V_zero
1.2012012012e+00 -3.9948569277e-03 -6.3419501091e-03 -4.0135254576e-03
1.2062062062e+00 -4.0279133908e-03 -6.4278802555e-03 -4.0467092425e-03
1.2112112112e+00 -4.0608136028e-03 -6.5145937392e-03 -4.0797399038e-03
1.2162162162e+00 -4.0935487397e-03 -6.6020943305e-03 -4.1126090878e-03
1.2212212212e+00 -4.1261111306e-03 -6.6903858029e-03 -4.1453083479e-03
1.2262262262e+00 -4.1584921488e-03 -6.7794719325e-03 -4.1778291442e-03
1.2312312312e+00 -4.1906816382e-03 -6.8693564987e-03 -4.2101628430e-03
1.2362362362e+00 -4.2226732249e-03 -6.9600432836e-03 -4.2423007170e-03
1.2412412412e+00 -4.2544556678e-03 -7.0515360727e-03 -4.2742339446e-03
1.2462462462e+00 -4.2860214675e-03 -7.1438386540e-03 -4.3059536101e-03
1.2512512513e+00 -4.3173616414e-03 -7.2369548188e-03 -4.3374507032e-03
1.2562562563e+00 -4.3484667049e-03 -7.3308883612e-03 -4.3687161189e-03
1.2612612613e+00 -4.3793280247e-03 -7.4256430784e-03 -4.3997406570e-03
1.2662662663e+00 -4.4099351240e-03 -7.5212227706e-03 -4.4305150223e-03
1.2712712713e+00 -4.4402784578e-03 -7.6176312409e-03 -4.4610298240e-03
1.2762762763e+00 -4.4703505322e-03 -7.7148722953e-03 -4.4912755755e-03
1.2812812813e+00 -4.5001397189e-03 -7.8129497429e-03 -4.5212426946e-03
1.2862862863e+00 -4.5296384590e-03 -7.9118673959e-03 -4.5509215026e-03
1.2912912913e+00 -4.5588342449e-03 -8.0116290692e-03 -4.5803022246e-03
1.2962962963e+00 -4.5877185662e-03 -8.1122385808e-03 -4.6093749891e-03
1.3013013013e+00 -4.6162817865e-03 -8.2136997519e-03 -4.6381298275e-03
1.3063063063e+00 -4.6445138589e-03 -8.3160164062e-03 -4.6665566744e-03
1.3113113113e+00 -4.6724031837e-03 -8.4191923709e-03 -4.6946453671e-03
1.3163163163e+00 -4.6999414226e-03 -8.5232314758e-03 -4.7223856453e-03
1.3213213213e+00 -4.7271180444e-03 -8.6281375539e-03 -4.7497671509e-03
1.3263263263e+00 -4.7539207407e-03 -8.7339144410e-03 -4.7767794279e-03
1.3313313313e+00 -4.7803401622e-03 -8.8405659761e-03 -4.8034119222e-03
