# S_vals,  V_ht_pi,   V_ht_pi_over4,   V_ht_pi_by4
3.6636636637e-02 -8.3636658689e+01 -8.8756865262e+01 -7.9706468252e+01
3.6836836837e-02 -8.5623298833e+01 -9.0837389590e+01 -8.1624701685e+01
3.7037037037e-02 -8.7641642469e+01 -9.2950963938e+01 -8.3573702742e+01
3.7237237237e-02 -8.9691989090e+01 -9.5097901537e+01 -8.5553761605e+01
3.7437437437e-02 -9.1774639364e+01 -9.7278516874e+01 -8.7565169583e+01
3.7637637638e-02 -9.3889895139e+01 -9.9493125690e+01 -8.9608219110e+01
3.7837837838e-02 -9.6038059442e+01 -1.0174204498e+02 -9.1683203748e+01
3.8038038038e-02 -9.8219436479e+01 -1.0402559299e+02 -9.3790418185e+01
3.8238238238e-02 -1.0043433163e+02 -1.0634408923e+02 -9.5930158234e+01
3.8438438438e-02 -1.0268305146e+02 -1.0869785445e+02 -9.8102720838e+01
3.8638638639e-02 -1.0496590371e+02 -1.1108721066e+02 -1.0030840406e+02
3.8838838839e-02 -1.0728319729e+02 -1.1351248114e+02 -1.0254750710e+02
3.9039039039e-02 -1.0963524231e+02 -1.1597399040e+02 -1.0482033028e+02
3.9239239239e-02 -1.1202235004e+02 -1.1847206421e+02 -1.0712717504e+02
3.9439439439e-02 -1.1444483292e+02 -1.2100702961e+02 -1.0946834395e+02
3.9639639640e-02 -1.1690300460e+02 -1.2357921488e+02 -1.1184414072e+02
3.9839839840e-02 -1.1939717989e+02 -1.2618894955e+02 -1.1425487018e+02
4.0040040040e-02 -1.2192767476e+02 -1.2883656441e+02 -1.1670083827e+02
4.0240240240e-02 -1.2449480640e+02 -1.3152239152e+02 -1.1918235207e+02
4.0440440440e-02 -1.2709889314e+02 -1.3424676418e+02 -1.2169971980e+02
4.0640640641e-02 -1.2974025451e+02 -1.3701001692e+02 -1.2425325078e+02
4.0840840841e-02 -1.3241921121e+02 -1.3981248558e+02 -1.2684325547e+02
4.1041041041e-02 -1.3513608512e+02 -1.4265450720e+02 -1.2947004546e+02
4.1241241241e-02 -1.3789119930e+02 -1.4553642010e+02 -1.3213393347e+02
4.1441441441e-02 -1.4068487799e+02 -1.4845856386e+02 -1.3483523332e+02
4.1641641642e-02 -1.4351744660e+02 -1.5142127930e+02 -1.3757425998e+02
4.1841841842e-02 -1.4638923172e+02 -1.5442490850e+02 -1.4035132955e+02
4.2042042042e-02 -1.4930056114e+02 -1.5746979479e+02 -1.4316675925e+02
4.2242242242e-02 -1.5225176379e+02 -1.6055628277e+02 -1.4602086741e+02
4.2442442442e-02 -1.5524316981e+02 -1.6368471827e+02 -1.4891397351e+02
4.2642642643e-02 -1.5827511050e+02 -1.6685544838e+02 -1.5184639814e+02
4.2842842843e-02 -1.6134791836e+02 -1.7006882147e+02 -1.5481846304e+02
4.3043043043e-02 -1.6446192703e+02 -1.7332518714e+02 -1.5783049104e+02
4.3243243243e-02 -1.6761747138e+02 -1.7662489624e+02 -1.6088280614e+02
4.3443443443e-02 -1.7081488741e+02 -1.7996830089e+02 -1.6397573342e+02
4.3643643644e-02 -1.7405451233e+02 -1.8335575445e+02 -1.6710959912e+02
4.3843843844e-02 -1.7733668451e+02 -1.8678761155e+02 -1.7028473060e+02
4.4044044044e-02 -1.8066174350e+02 -1.9026422806e+02 -1.7350145634e+02
4.4244244244e-02 -1.8403003005e+02 -1.9378596111e+02 -1.7676010595e+02
4.4444444444e-02 -1.8744188607e+02 -1.9735316909e+02 -1.8006101016e+02
4.4644644645e-02 -1.9089765464e+02 -2.0096621164e+02 -1.8340450083e+02
4.4844844845e-02 -1.9439768003e+02 -2.0462544964e+02 -1.8679091096e+02
4.5045045045e-02 -1.9794230769e+02 -2.0833124525e+02 -1.9022057466e+02
4.5245245245e-02 -2.0153188425e+02 -2.1208396186e+02 -1.9369382717e+02
4.5445445445e-02 -2.0516675751e+02 -2.1588396414e+02 -1.9721100486e+02
4.5645645646e-02 -2.0884727646e+02 -2.1973161798e+02 -2.0077244523e+02
4.5845845846e-02 -2.1257379124e+02 -2.2362729056e+02 -2.0437848688e+02
4.6046046046e-02 -2.1634665321e+02 -2.2757135028e+02 -2.0802946958e+02
