# S_vals   V_full
1.1801801802e+00 1.4852137706e-03
1.1831831832e+00 1.4820382837e-03
1.1861861862e+00 1.4788145647e-03
1.1891891892e+00 1.4755437543e-03
1.1921921922e+00 1.4722274022e-03
1.1951951952e+00 1.4688657168e-03
1.1981981982e+00 1.4654562579e-03
1.2012012012e+00 1.4620014483e-03
1.2042042042e+00 1.4585020633e-03
1.2072072072e+00 1.4549583399e-03
1.2102102102e+00 1.4513682707e-03
1.2132132132e+00 1.4477337611e-03
1.2162162162e+00 1.4440557296e-03
1.2192192192e+00 1.4403344288e-03
1.2222222222e+00 1.4365691186e-03
1.2252252252e+00 1.4327595112e-03
1.2282282282e+00 1.4289075129e-03
1.2312312312e+00 1.4250133985e-03
1.2342342342e+00 1.4210774439e-03
1.2372372372e+00 1.4170986369e-03
1.2402402402e+00 1.4130776507e-03
1.2432432432e+00 1.4090157754e-03
1.2462462462e+00 1.4049133083e-03
1.2492492492e+00 1.4007705543e-03
1.2522522523e+00 1.3965874847e-03
1.2552552553e+00 1.3923631855e-03
1.2582582583e+00 1.3880996209e-03
1.2612612613e+00 1.3837940823e-03
1.2642642643e+00 1.3794480328e-03
1.2672672673e+00 1.3750636927e-03
1.2702702703e+00 1.3706414025e-03
1.2732732733e+00 1.3661800736e-03
1.2762762763e+00 1.3616814293e-03
1.2792792793e+00 1.3571459477e-03
1.2822822823e+00 1.3525739889e-03
1.2852852853e+00 1.3479659149e-03
1.2882882883e+00 1.3433220976e-03
1.2912912913e+00 1.3386429056e-03
1.2942942943e+00 1.3339285100e-03
1.2972972973e+00 1.3270164982e-03
1.3003003003e+00 1.3222346765e-03
1.3033033033e+00 1.3174190844e-03
1.3063063063e+00 1.3125701333e-03
1.3093093093e+00 1.3076882110e-03
1.3123123123e+00 1.3027737007e-03
1.3153153153e+00 1.2978270536e-03
1.3183183183e+00 1.2928486731e-03
1.3213213213e+00 1.2878389743e-03
1.3243243243e+00 1.2849400200e-03
1.3273273273e+00 1.2798666750e-03
1.3303303303e+00 1.2747628929e-03
1.3333333333e+00 1.2696293891e-03
1.3363363363e+00 1.2644667856e-03
1.3393393393e+00 1.2592755297e-03
1.3423423423e+00 1.2540560737e-03
1.3453453453e+00 1.2488088742e-03
1.3483483483e+00 1.2435343928e-03
1.3513513514e+00 1.2382330946e-03
1.3543543544e+00 1.2329054503e-03
1.3573573574e+00 1.2275519346e-03
1.3603603604e+00 1.2221730266e-03
1.3633633634e+00 1.2167692107e-03
1.3663663664e+00 1.2113409742e-03
1.3693693694e+00 1.2058888107e-03
1.3723723724e+00 1.2004132169e-03
1.3753753754e+00 1.1949146942e-03
1.3783783784e+00 1.1893937489e-03
1.3813813814e+00 1.1838508911e-03
1.3843843844e+00 1.1782866358e-03
1.3873873874e+00 1.1727015021e-03
1.3903903904e+00 1.1670960135e-03
1.3933933934e+00 1.1614706980e-03
1.3963963964e+00 1.1558260874e-03
1.3993993994e+00 1.1501627186e-03
1.4024024024e+00 1.1444811321e-03
1.4054054054e+00 1.1387818735e-03
1.4084084084e+00 1.1330654919e-03
1.4114114114e+00 1.1273325413e-03
1.4144144144e+00 1.1215833662e-03
1.4174174174e+00 1.1158184285e-03
1.4204204204e+00 1.1100385798e-03
